era,region,"name","epithet",scale,wealth,culture,knowledge,might,"tagline"
ancient,SEU,"Rome","Imperial",97,90,88,80,99,"A million souls; all roads lead here."
ancient,SEU,"Athens","Classical",60,68,96,98,72,"Philosophy, drama, and democracy from one harbor town."
ancient,SEU,"Syracuse","Greek Sicily",58,72,78,84,74,"Archimedes' hometown — rich, brilliant, hard to besiege."
ancient,CN,"Chang'an","Han",88,80,76,80,92,"Eastern terminus of the Silk Road."
ancient,CN,"Luoyang","Han",80,72,74,80,84,"Nine dynasties called it capital."
ancient,SAS,"Pataliputra","Mauryan",90,80,74,84,92,"Ashoka's seat — among the largest cities on Earth."
ancient,SAS,"Anuradhapura","Sinhalese",62,64,72,76,66,"Sacred stupas and vast reservoir engineering."
ancient,NAF,"Alexandria","Ptolemaic",86,86,88,99,74,"The Library, the Lighthouse, the world's knowledge."
ancient,MEC,"Babylon","Neo-Babylonian",84,80,84,86,86,"Hanging gardens, astronomy, the first metropolis."
ancient,NAF,"Carthage","Punic",76,93,72,68,86,"Merchant empire that nearly broke Rome."
ancient,MEC,"Persepolis","Achaemenid",55,86,82,70,93,"Ceremonial heart of the first world empire."
ancient,LAM,"Teotihuacan","Classic",82,72,82,72,86,"The Avenue of the Dead, planned on a grand grid."
ancient,LAM,"Monte Albán","Zapotec",55,55,70,66,70,"Mountaintop capital of the Zapotec world."
ancient,EAF,"Meroë","Kushite",52,66,62,64,70,"Iron-smelting royal city of pyramids on the Nile."
ancient,EAF,"Aksum","Aksumite",56,80,64,66,76,"Trading empire minting its own gold coin."
ancient,SEU,"Sparta","Lacedaemon",42,40,52,48,90,"No walls. The men are the walls."
ancient,SEU,"Corinth","Isthmian",52,78,68,58,64,"Toll booth of two seas."
ancient,CN,"Linzi","Qi",70,76,62,70,68,"Teeming capital of the Warring States' richest kingdom."
ancient,CN,"Chengdu","Shu",58,66,64,62,56,"Brocade city behind the mountains."
ancient,SAS,"Taxila","Gandharan",48,60,70,86,58,"Crossroads university where Greek met Buddhist."
ancient,SAS,"Madurai","Pandyan",52,60,74,58,56,"Temple city of Tamil poets."
ancient,NAF,"Memphis","Egyptian",62,62,76,72,66,"Balance of the Two Lands."
ancient,MEC,"Jerusalem","Second Temple",46,46,82,74,50,"Small city, vast gravity."
ancient,EAF,"Napata","Kushite",38,48,54,50,58,"Holy mountain seat of the Black Pharaohs."
ancient,EAF,"Adulis","Red Sea",36,62,44,42,46,"Aksum's window on the sea."
ancient,LAM,"El Mirador","Preclassic Maya",52,46,58,56,60,"Pyramids bigger than anything the Maya built after."
ancient,LAM,"Caral","Norte Chico",34,38,46,44,38,"The Americas' first city — older than Giza."
medieval,SEU,"Constantinople","Byzantine",92,93,90,86,93,"The Queen of Cities behind triple walls."
medieval,SEU,"Córdoba","Umayyad",82,82,90,95,78,"Europe's greatest library while Paris was mud streets."
medieval,SEU,"Venice","Maritime Republic",70,93,80,74,82,"A republic of merchants rising from a lagoon."
medieval,WE,"Paris","Capetian",76,72,82,90,78,"The Sorbonne makes it Christendom's classroom."
medieval,CN,"Chang'an","Tang",99,90,93,88,95,"A million people, a grid of wards, the world's crossroads."
medieval,CN,"Kaifeng","Song",96,95,86,91,82,"Gunpowder, paper money, restaurants open all night."
medieval,CN,"Hangzhou","Southern Song",95,96,91,88,76,"Marco Polo called it the finest city in the world."
medieval,JK,"Kyoto","Heian",80,70,93,82,68,"The Tale of Genji's refined court."
medieval,SEA,"Angkor","Khmer",94,80,89,76,88,"The largest preindustrial city ever built."
medieval,SAS,"Delhi","Sultanate",82,80,76,78,88,"Fortress capital astride the Indian plains."
medieval,MEC,"Baghdad","Abbasid",95,92,91,99,90,"The House of Wisdom; the round city of the caliphs."
medieval,NAF,"Cairo","Fatimid",88,90,84,90,85,"Al-Azhar and a thousand minarets."
medieval,MEC,"Merv","Seljuk",90,85,76,88,78,"Briefly the largest city on Earth — then the Mongols came."
medieval,EAF,"Kilwa","Swahili Coast",56,88,70,70,62,"Gold, ivory, and coral palaces on the Indian Ocean."
medieval,EAF,"Great Zimbabwe","Shona",52,74,58,52,68,"Stone walls without mortar; hub of the gold trade."
medieval,NAM,"Cahokia","Mississippian",48,52,55,50,62,"Mound city larger than the London of its day."
medieval,LAM,"Tikal","Maya",62,58,72,74,70,"Pyramids above the canopy; astronomy in stone."
medieval,SEU,"Palermo","Norman",62,74,84,82,70,"Three faiths, one dazzling court."
medieval,CEE,"Novgorod","Republic",48,76,60,58,62,"Merchant republic at the edge of the forest."
medieval,JK,"Nara","Imperial",54,52,80,70,48,"The Great Buddha and Japan's first permanent capital."
medieval,SEA,"Pagan","Bagan",62,58,82,66,62,"Ten thousand temples on a dry plain."
medieval,SAS,"Polonnaruwa","Sinhalese",50,56,66,62,58,"Reservoirs like inland seas."
medieval,MEC,"Damascus","Ayyubid",70,78,80,82,76,"Oldest city still arguing about it."
medieval,NAF,"Fez","Idrisid",58,70,78,86,60,"Home of the world's oldest university."
medieval,EAF,"Lalibela","Zagwe",34,40,76,54,46,"Churches carved down into living rock."
medieval,EAF,"Mogadishu","Sultanate",46,72,58,54,50,"Ports, poets, and ocean trade."
medieval,LAM,"Chichén Itzá","Maya-Toltec",58,60,76,72,68,"The serpent descends the steps each equinox."
medieval,LAM,"Chan Chan","Chimú",56,58,60,50,62,"Largest adobe city ever raised."
renaissance,SEU,"Florence","Medici",60,92,99,93,70,"A banking fortune turned into the Renaissance."
renaissance,SEU,"Venice","La Serenissima",78,97,93,86,86,"Half empire, half art gallery, all merchant."
renaissance,SEU,"Lisbon","Age of Discovery",72,93,76,82,86,"Spice fleets redraw the map of the world."
renaissance,SEU,"Seville","Golden Age",76,94,80,72,80,"Every galleon of American silver lands here."
renaissance,CN,"Beijing","Ming",98,88,88,86,95,"The Forbidden City at the heart of the largest state on Earth."
renaissance,CN,"Nanjing","Early Ming",92,86,82,84,90,"Treasure fleets launched from its yards."
renaissance,SAS,"Vijayanagara","City of Victory",93,89,86,78,90,"Diamond markets and granite temples; travelers' jaws dropped."
renaissance,SEA,"Malacca","Sultanate",60,95,72,66,70,"The strait where every trade wind meets."
renaissance,MEC,"Istanbul","Ottoman",95,92,91,85,97,"The Conqueror's capital, bridging two continents."
renaissance,MEC,"Samarkand","Timurid",70,86,87,91,85,"Registan blue; Ulugh Beg's observatory."
renaissance,NAF,"Cairo","Mamluk",88,90,85,86,82,"Slave-soldiers ruling the richest crossroads on Earth."
renaissance,WAF,"Timbuktu","Songhai",60,86,80,91,66,"Books worth more than gold in the desert."
renaissance,WAF,"Benin City","Edo Kingdom",62,72,84,60,76,"Bronze masterworks and miles of earthen walls."
renaissance,LAM,"Tenochtitlan","Aztec",92,82,86,76,93,"A city on a lake that stunned the conquistadors."
renaissance,LAM,"Cusco","Inca",70,76,80,72,90,"Navel of the world, knot of ten thousand roads."
renaissance,WE,"Antwerp","Golden Age",62,93,74,70,58,"Half of world trade through one harbor."
renaissance,CEE,"Nuremberg","Free City",50,76,80,82,58,"Dürer's workshop; the printing boom's machine shop."
renaissance,JK,"Kyoto","Muromachi",70,62,88,72,50,"Zen gardens amid the warring states."
renaissance,CN,"Hangzhou","Ming",80,82,78,72,56,"Still lovely, no longer the center."
renaissance,SAS,"Agra","Early Mughal",70,78,80,68,84,"A dynasty finding its grandeur."
renaissance,SEA,"Pegu","Burmese",52,70,62,52,64,"Gilded port the Portuguese marveled at."
renaissance,MEC,"Tabriz","Silk Road",62,80,80,76,70,"Carpet looms and caravanserais."
renaissance,MEC,"Aleppo","Crossroads",60,82,70,62,64,"Where the caravans changed hands."
renaissance,WAF,"Gao","Songhai",56,72,58,66,72,"Imperial capital on the Niger bend."
renaissance,WAF,"Mbanza Kongo","Kongo",42,48,56,46,60,"Seat of the manikongo."
renaissance,LAM,"Cholula","Sacred",46,50,68,56,52,"The widest pyramid on Earth."
renaissance,LAM,"Quito","Northern Inca",44,48,54,48,62,"The empire's second city, high in the clouds."
earlymodern,WE,"Amsterdam","Dutch Golden Age",70,99,86,91,80,"The first stock exchange; Rembrandt upstairs."
earlymodern,WE,"London","Georgian",94,96,89,92,95,"Coffeehouses, the Royal Society, an empire's ledger."
earlymodern,WE,"Paris","Enlightenment",92,90,97,96,92,"Salons where the modern world got argued into being."
earlymodern,CEE,"Vienna","Habsburg",72,76,93,88,86,"Mozart and Haydn on retainer."
earlymodern,CEE,"St. Petersburg","Imperial",72,76,86,82,88,"A capital willed out of a swamp by a tsar."
earlymodern,JK,"Edo","Tokugawa",99,86,92,80,88,"A million people in the world's largest city — at peace."
earlymodern,CN,"Beijing","Qing",97,88,85,82,94,"The Qianlong zenith."
earlymodern,JK,"Kyoto","Edo-period",78,72,94,82,58,"Old capital of temples, weavers, and tea."
earlymodern,CN,"Guangzhou","Canton Trade",82,93,72,70,70,"The one door through which the West met China."
earlymodern,SAS,"Delhi","Mughal",94,92,90,82,94,"The Peacock Throne: 'if there is paradise on earth…'"
earlymodern,SEA,"Ayutthaya","Siamese",72,86,80,66,76,"Island capital that traders compared to Paris."
earlymodern,MEC,"Istanbul","Tulip Era",92,88,86,80,90,"Imperial confidence in full bloom."
earlymodern,MEC,"Isfahan","Safavid",85,86,95,85,88,"'Isfahan is half the world.'"
earlymodern,LAM,"Potosí","Silver Mountain",80,97,55,50,58,"The mine that bankrolled an empire."
earlymodern,LAM,"Mexico City","Viceregal",76,84,80,76,78,"Crossroads of two oceans' trade."
earlymodern,NAM,"Philadelphia","Revolutionary",52,70,72,82,72,"Franklin's town; a constitution drafted here."
earlymodern,WAF,"Kano","Hausa",52,72,58,60,64,"Walled emporium of the Saharan trade."
earlymodern,EAF,"Gondar","Ethiopian",46,56,68,62,68,"Castle city of the highlands."
earlymodern,SEU,"Madrid","Siglo de Oro",70,72,86,72,86,"Velázquez at court, Cervantes in print."
earlymodern,SEU,"Naples","Bourbon",82,66,82,68,64,"Italy's biggest, loudest, hungriest city."
earlymodern,JK,"Osaka","Merchant",80,90,78,66,52,"The nation's kitchen — rice futures invented here."
earlymodern,JK,"Nagasaki","Dejima",40,70,56,68,40,"Japan's one window on the world."
earlymodern,SAS,"Madras","Company Port",48,70,56,58,62,"Fort St. George and the trade winds."
earlymodern,SEA,"Batavia","VOC",48,82,54,58,66,"A spice empire's counting house."
earlymodern,NAF,"Cairo","Ottoman",80,78,76,72,66,"Past its peak, still the Nile's metropolis."
earlymodern,NAF,"Marrakesh","Saadian",54,66,74,62,68,"Red city of the western caravans."
earlymodern,LAM,"Lima","City of Kings",58,80,72,70,72,"Viceregal splendor on the Pacific."
earlymodern,NAM,"Boston","Colonial",42,64,64,78,58,"Sermons, smugglers, and a tea problem."
earlymodern,EAF,"Mombasa","Swahili",40,62,52,46,56,"Fort Jesus guards the harbor."
earlymodern,EAF,"Antananarivo","Merina",40,46,54,44,60,"Highland capital of the great red island."
industrial,WE,"London","Victorian",99,99,92,95,99,"The metropolis: a quarter of humanity ruled from here."
industrial,WE,"Paris","Haussmann",95,92,99,95,92,"Boulevards, salons, and the century's art capital."
industrial,CEE,"Vienna","Fin-de-siècle",88,85,97,96,87,"Klimt, Freud, Mahler — one coffeehouse apart."
industrial,CEE,"Berlin","Gründerzeit",88,88,87,95,92,"Electricity, chemistry, and a new empire's swagger."
industrial,WE,"Manchester","Cottonopolis",80,91,64,84,68,"The first industrial city — soot, steam, the future."
industrial,CEE,"St. Petersburg","Tsarist",85,82,93,88,89,"Tolstoy's drawing rooms, Mendeleev's table."
industrial,JK,"Tokyo","Meiji",92,86,85,89,90,"From shogunate to world power in one generation."
industrial,CN,"Shanghai","Treaty Port",85,90,78,72,66,"The Bund rises where empires trade."
industrial,SAS,"Calcutta","Raj",90,90,86,84,82,"Second city of the Empire; the Bengal Renaissance."
industrial,SAS,"Bombay","Gateway",85,90,78,76,74,"Cotton, railways, and a harbor full of the world."
industrial,NAF,"Cairo","Khedival",76,78,77,72,70,"Paris on the Nile, built on cotton and debt."
industrial,MEC,"Istanbul","Tanzimat",85,80,82,74,80,"An old empire reinventing itself at the strait."
industrial,NAM,"New York","Gilded Age",96,98,88,88,84,"Bridges, skyscrapers, and money that never sleeps."
industrial,NAM,"Chicago","World's Fair",88,92,82,86,72,"Inventor of the skyline."
industrial,LAM,"Buenos Aires","Belle Époque",80,89,84,76,70,"Richer per head than Paris, and dressed like it."
industrial,LAM,"Rio de Janeiro","Imperial",74,80,80,70,74,"A tropical court between mountains and sea."
industrial,EAF,"Zanzibar","Sultanate",55,84,66,56,64,"Cloves, dhows, and the Indian Ocean's bazaar."
industrial,EAF,"Cape Town","Colonial",56,72,62,66,68,"Tavern of the seas at the foot of Table Mountain."
industrial,JK,"Osaka","Meiji",76,86,68,72,60,"Smokestacks over the merchant city."
industrial,CN,"Hong Kong","Colonial",52,80,58,58,54,"'A barren rock,' they said."
industrial,SAS,"Madras","Presidency",62,70,62,64,58,"Southern anchor of the Raj."
industrial,SEA,"Rangoon","Colonial",56,76,60,56,54,"Rice port of the East."
industrial,MEC,"Beirut","Nahda",44,66,76,72,44,"The Arab renaissance, in print."
industrial,NAF,"Alexandria","Cosmopolitan",60,80,74,66,54,"Cotton money and Mediterranean swagger."
industrial,NAM,"Boston","Brahmin",62,78,80,88,58,"Universities, abolitionists, and old money."
industrial,NAM,"San Francisco","Gold Rush",50,84,68,62,50,"Instant city of fortune-seekers."
industrial,WAF,"Lagos","Colonial Port",40,60,50,42,44,"A lagoon town starting to boom."
industrial,WAF,"Freetown","Krio",32,46,54,56,42,"Founded by the freed; a university before most colonies."
early20,WE,"Paris","Années Folles",90,88,99,95,72,"Picasso, Stein, Josephine Baker — everyone came."
early20,WE,"London","Imperial Twilight",95,95,90,92,96,"Still the world's banker, soon its survivor."
early20,CEE,"Berlin","Weimar",90,84,97,96,58,"Cabaret, cinema, and physics rewriting reality."
early20,CEE,"Vienna","1900",85,78,96,98,60,"Freud, Wittgenstein, Schiele — one ring road."
early20,CEE,"Moscow","Soviet",88,74,86,88,95,"Avant-garde in the morning, five-year plans by night."
early20,CN,"Shanghai","Jazz Age",85,92,90,78,52,"Paris of the East, spy capital of Asia."
early20,JK,"Tokyo","Imperial",95,87,85,87,92,"Rebuilt from earthquake into a world capital."
early20,SAS,"Bombay","Interwar",86,86,84,76,72,"Mills, movie studios, and the independence press."
early20,SAS,"Calcutta","Late Raj",85,82,87,82,70,"Tagore's Nobel and a ferment of ideas."
early20,NAF,"Cairo","Golden Age",82,78,90,76,72,"Umm Kulthum on the radio; cinema for the whole Arab world."
early20,MEC,"Istanbul","Republican",72,66,78,72,66,"An imperial capital learning to be a city."
early20,NAM,"New York","Jazz Age",99,99,97,94,93,"Skyline, swing, and the capital of the 20th century."
early20,NAM,"Chicago","Roaring",90,91,88,85,74,"Jazz, gangsters, and architecture worth the trouble."
